round,hybrid-linucb,leastloaded,linucb,p2c
1,53.66,52.44,52.42,49.05
2,57.23,52.8,50.68,53.42
3,51.07,53.22,47.22,51.52
4,48.58,50.88,55.63,46.15
5,39.92,48.84,43.66,40.35
6,42.94,45.64,42.8,39.74
7,40.6,43.17,43.07,40.04
8,39.65,42.9,42.13,43.2
9,41.39,42.86,42.51,42.57
10,42.54,46.77,48.49,42.76
