round,hybrid-linucb,leastloaded,linucb,p2c
1,47.34,47.27,50.78,49.51
2,46.47,46.37,53.75,50.0
3,54.65,46.06,53.98,53.76
4,50.5,62.92,53.03,53.21
5,53.92,64.15,63.46,62.91
6,50.79,48.84,63.53,63.58
7,50.22,50.22,70.15,60.01
8,52.17,48.46,60.1,52.66
9,46.21,46.12,65.4,52.81
10,101.93,53.15,60.3,53.78
