round,hybrid-linucb,leastloaded,linucb,p2c
1,40.42,42.1,49.13,45.72
2,38.94,38.87,45.5,47.3
3,39.97,41.02,47.6,44.02
4,39.38,39.87,47.37,45.29
5,42.4,39.7,44.27,45.0
6,40.84,41.23,47.89,47.28
7,40.72,40.33,46.78,48.16
8,40.61,39.23,46.33,44.61
9,40.26,40.16,48.58,45.48
10,42.05,41.31,47.69,47.26
